ID_EMPRESA;EMPRESA;ID_OBRA;OBRA;RECEITA_RECEBIDA;RECEITA_BRUTA;SALDO_ABERTO;TITULOS
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;266;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MORADA NOVA;654412.06;654412.06;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;267;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - TABULEIRO DO NORTE;642958.60;642958.60;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;263;2 - CONSTRUÇÃO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CAMOCIM;640896.50;640896.50;0.00;5
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;268;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS UBAJARA;621852.69;621852.69;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;126;REFORMA DA PRAÇA DA MATRIZ DO MUNICÍPIO DE GRANJEIRO;612285.90;612285.90;0.00;9
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;265;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MARACANAU;609976.41;609976.41;0.00;6
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;264;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CRATEUS;603809.03;603809.03;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;153;SERV AMPL E REF ESCOLAS EEIEF JOSÉ ANT SOUSA E EEF RAQUEL COSTA SENADOR POMPEU;589706.07;589706.07;0.00;3
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;134;REFORMA DE ESTRUTURA;575918.70;575918.70;0.00;4
1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;127;REFORMA DE ESCRITÓRIO;569594.23;569594.23;0.00;5
