ID;NOME;EMPRESA;STATUS
101;CONSTRUÇÃO DA ESTRUTURA DOS 12 LEITOS DE UTI - COVID19 - CAUCAIA;1;Ativa
102;REFORMA DO HOSPITAL MUNICIPAL DR. JOÃO ELISIO DE HOLANDA;1;Ativa
103;ALMOXARIFADO ANEXO;1;Ativa
104;SUBESTAÇÃO DE ESCOLAS EM SÃO GONÇALO DO AMARANTE;1;Ativa
105;GESTÃO DINAMICA;1;Ativa
106;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS JAGUARUANA;1;Ativa
107;PAVIMENTAÇÃO EM PEDRA TOSCA EM URUCUTUBA - CAUCAIA;1;Ativa
108;ENROCAMENTO EMERGENCIAL - CAUCAIA;1;Ativa
109;CONSTRUÇÃO DO MERCADO PÚBLICO - VÁRZEA ALEGRE;1;Ativa
110;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - TABULEIRO DO NORTE;1;Ativa
111;REFORMA DOS CEMITÉRIOS PÚBLICOS EM CAUCAIA - CE;1;Ativa
112;DUPLICAÇÃO DA ENTRADA DA CIDADE - TABULEIRO DO NORTE;1;Ativa
113;PAVIMENTAÇÃO E URBANIZAÇÃO DA AV. BEIRA RIO - MORRINHOS;1;Ativa
114;RAFAEL DE SÁ CRUZ;1;Ativa
115;ESCOLAS - CAUCAIA;1;Ativa
116;RETRABALHO;1;Ativa
117;REQUALIFICAÇÃO DO MERCADO DA JUREMA - CAUCAIA;1;Ativa
118;MANUTENÇÃO SEC. SAÚDE - CAUCAIA;1;Ativa
119;CONTRUÇÃO DE 04 PRAÇAS - MORRINHOS;1;Ativa
120;CONSTRUÇÃO ESTÁDIO MUNICIPAL - PREFEITURA DE MORRINHOS;1;Ativa
121;PAVIMENTAÇÃO - CNT MORRINHOS;1;Ativa
122;CONSTRUÇÃO DE QUADRAS - TABULEIRO DO NORTE;1;Ativa
123;IFCE MANUTENÇÃO PREDIAL - MARANGUAPE;1;Ativa
124;OBRA PARCERIA - IFCE;1;Ativa
125;COMERCIAL / VENDAS;1;Ativa
126;REFORMA DA PRAÇA DA MATRIZ DO MUNICÍPIO DE GRANJEIRO;1;Ativa
127;REFORMA DE ESCRITÓRIO;1;Ativa
128;RESIDENCIAS UNIFAMILIARES LAGOA DO BANANA;1;Ativa
129;MANUTENÇÃO NO MUNICÍPIO DE PARACURU - CE;1;Ativa
130;OBRAS AREA CAUCAIA;1;Ativa
131;REFORMA DE ESCOLA;1;Ativa
132;REFORMA DE POSTO;1;Ativa
133;REFORMA FINANCEIRO;1;Ativa
134;REFORMA DE ESTRUTURA;1;Ativa
135;3 - SOP - CONSTRUÇÃO DE CEI - MARACANAÚ;1;Ativa
136;4 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ;1;Ativa
137;RANGER - QUL - 5009;1;Ativa
138;REGULARIZAÇÃO;1;Ativa
139;SUBESTAÇÃO DO HOSPITAL DR. JOÃO ELÍSIO DE HOLANDA - MARACANAÚ;1;Ativa
140;SAÚDE;1;Ativa
141;SETOR METALÚRGICO;1;Ativa
142;SERVIÇOS REMANESCENTES DA CRECHE TIPO 01 - PROINFÂNCIA - ASSARÉ;1;Ativa
143;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 06 SALAS - CAMPOS SALES;1;Ativa
