EMPRESA: JFK CONSTRUÇÕES LTDA
ID_EMPRESA: 2
PERIODO: 1999-05-09 ate 2027-11-01
Fonte: Sienge API REST ao vivo (/bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; bills=51088.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
20004;CASA BOULEVARD
20001;ESCRITÓRIO JFK
20002;GESTÃO CONTRATOS INSTITUTO CENTRAL DAS CRECHES COMUNITARIAS
20003;REFORMA SALA - IFCE MARACANAÚ

CONTAS_A_PAGAR
Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
VALE ALIMENTAÇÃO;REC ALIMENTAÇÃO M;01/01/2026;2;;;R$ 36,00;R$ 0,00;R$ 0,00;R$ 36,00
VALE ALIMENTAÇÃO;CO VA GILMAR ROCHA;06/01/2026;1;;;R$ 120,00;R$ 0,00;R$ 0,00;R$ 120,00
CLAUDIO MACIEL GADELHA DA SILVA;FAT 15280;06/01/2026;1;;;R$ 2.006,64;R$ 0,00;R$ 0,00;R$ 2.006,64
CARAJAS MAT DE CONSTRUÇAO LTDA;NFE 161407;06/01/2026;2;;;R$ 910,58;R$ 0,00;R$ 0,00;R$ 910,58
CLAUDIO MACIEL GADELHA DA SILVA;PPC 15280;06/01/2026;1;;;R$ 2.006,64;R$ 0,00;R$ 0,00;R$ 2.006,64
CLAUDIO MACIEL GADELHA DA SILVA;NFE 32293;07/01/2026;1;;;R$ 2.006,64;R$ 0,00;R$ 0,00;R$ 2.006,64
IFCE MARACANAU;REC PAG DIARIAS;07/01/2026;1;;;R$ 1.200,00;R$ 0,00;R$ 0,00;R$ 1.200,00
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;NFE 14889;12/01/2026;1;;;R$ 67,00;R$ 0,00;R$ 0,00;R$ 67,00
SV COMERCIO DE MATERIAL ELETRICO LTDA FILIAL;PPC 15305;12/01/2026;1;;;R$ 67,00;R$ 0,00;R$ 0,00;R$ 67,00
VALE ALIMENTAÇÃO;CO VA GILMAR 6 DIAS;14/01/2026;1;;;R$ 120,00;R$ 0,00;R$ 0,00;R$ 120,00
CLAUDIO MACIEL GADELHA DA SILVA;FAT 15319;14/01/2026;1;;;R$ 343,99;R$ 0,00;R$ 0,00;R$ 343,99
DISTRIBUIDORA MAIA DE MATERIAL DE CONSTRUÇÃO LTDA;FAT 15323;14/01/2026;1;;;R$ 223,00;R$ 0,00;R$ 0,00;R$ 223,00
CLAUDIO MACIEL GADELHA DA SILVA;NFE 32437;14/01/2026;1;;;R$ 343,99;R$ 0,00;R$ 0,00;R$ 343,99
CLAUDIO MACIEL GADELHA DA SILVA;PPC 15319;14/01/2026;1;;;R$ 343,99;R$ 0,00;R$ 0,00;R$ 343,99
DISTRIBUIDORA MAIA DE MATERIAL DE CONSTRUÇÃO LTDA;PPC 15323;14/01/2026;1;;;R$ 223,00;R$ 0,00;R$ 0,00;R$ 223,00
DISTRIBUIDORA MAIA DE MATERIAL DE CONSTRUÇÃO LTDA;NFE 1257425;15/01/2026;1;;;R$ 223,00;R$ 0,00;R$ 0,00;R$ 223,00
FRANCISCO GEAN FROTA MOREIRA;REC REEMBOLSO;16/01/2026;1;;;R$ 324,70;R$ 0,00;R$ 0,00;R$ 324,70
SECRETARIA DE FAZENDA FEDERAL;BOL 0720260120835286-8;19/01/2026;1;;;R$ 2.688,07;R$ 0,00;R$ 0,00;R$ 2.688,07
FOLHA DE PAGAMENTO;CO 1ª JAN MARACA JFK;19/01/2026;1;;;R$ 697,03;R$ 0,00;R$ 0,00;R$ 697,03
FOLHA DE PAGAMENTO;CO 1ª JAN MARACANAÚ;19/01/2026;1;;;R$ 1.126,00;R$ 0,00;R$ 0,00;R$ 1.126,00
FOLHA DE PAGAMENTO;CO DIÁRIAS GILMAR;20/01/2026;1;;;R$ 1.400,00;R$ 0,00;R$ 0,00;R$ 1.400,00
AMV COMBUSTIVEIS LTDA;CPF 6150;06/02/2026;1;;;R$ 299,00;R$ 0,00;R$ 0,00;R$ 299,00
AMV COMBUSTIVEIS LTDA;CPF 7210;20/02/2026;1;;;R$ 140,00;R$ 0,00;R$ 0,00;R$ 140,00
KAPTA PROJETOS LTDA;CTM 1685;25/02/2026;1;;;R$ 7.000,00;R$ 0,00;R$ 0,00;R$ 7.000,00
T Z M CONSULTORIA, PROJETOS E CONSTRUCOES LTDA;CTM 1684;27/02/2026;1;;;R$ 2.800,00;R$ 0,00;R$ 0,00;R$ 2.800,00
RODRIGUES MATERIAL DE CONSTRUCOES LTDA;CPF 1357;01/03/2026;1;;;R$ 65,06;R$ 0,00;R$ 0,00;R$ 65,06
M A FROTA COMERCIAL LTDA;CPF 2111;01/03/2026;1;;;R$ 57,00;R$ 0,00;R$ 0,00;R$ 57,00
RODRIGUES MATERIAL DE CONSTRUCOES LTDA;CPF 2618;01/03/2026;1;;;R$ 39,60;R$ 0,00;R$ 0,00;R$ 39,60
RODRIGUES MATERIAL DE CONSTRUCOES LTDA;CPF 2682;01/03/2026;1;;;R$ 94,70;R$ 0,00;R$ 0,00;R$ 94,70
VOTORANTIM CIMENTOS N/NE S/A;FAT 15551;01/03/2026;1;;;R$ 9.903,60;R$ 0,00;R$ 0,00;R$ 9.903,60
DIEPI DISTRIBUIDORA DE EPI LTDA;FAT 15556;01/03/2026;1;;;R$ 600,00;R$ 0,00;R$ 0,00;R$ 600,00
METALMECANICA MAIA LTDA;FAT 15557;01/03/2026;1;;;R$ 1.882,70;R$ 0,00;R$ 0,00;R$ 1.882,70
CERAMICA ROCHA UNIPESSOAL;FAT 15559;01/03/2026;1;;;R$ 3.750,00;R$ 0,00;R$ 0,00;R$ 3.750,00
JOSE ELIAS PEDROSA OLIVEIRA JUNIOR;FAT 15568;01/03/2026;1;;;R$ 1.831,92;R$ 0,00;R$ 0,00;R$ 1.831,92
DIEPI DISTRIBUIDORA DE EPI LTDA;FAT 15598;01/03/2026;1;;;R$ 575,00;R$ 0,00;R$ 0,00;R$ 575,00
METALMECANICA MAIA LTDA;FAT 15604;01/03/2026;1;;;R$ 371,52;R$ 0,00;R$ 0,00;R$ 371,52
NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;PRP PLANO ODONTOLOGIO;01/03/2026;8;;;R$ 6.800,00;R$ 0,00;R$ 0,00;R$ 6.800,00
UBER DO BRASIL TECNOLOGIA LTDA.;REC 001;01/03/2026;1;;;R$ 18,95;R$ 0,00;R$ 0,00;R$ 18,95
VALE ALIMENTAÇÃO;REC 01;01/03/2026;1;;;R$ 66,00;R$ 0,00;R$ 0,00;R$ 66,00
SANRO ENGENHARIA LTDA;CTM 1693;03/03/2026;1;;;R$ 8.601,74;R$ 0,00;R$ 0,00;R$ 8.601,74
PODIUM CERTIFICACAO E SERVICOS LTDA;BOL 22026..;05/03/2026;1;;;R$ 197,00;R$ 0,00;R$ 0,00;R$ 197,00
PODIUM CERTIFICACAO E SERVICOS LTDA;BOL 22026...;05/03/2026;1;;;R$ 160,00;R$ 0,00;R$ 0,00;R$ 160,00
VOTORANTIM CIMENTOS N/NE S/A;PPC 15551;05/03/2026;2;;;R$ 10.304,00;R$ 0,00;R$ 0,00;R$ 10.304,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;PPC 15552;06/03/2026;2;;;R$ 4.463,00;R$ 0,00;R$ 0,00;R$ 4.463,00
ALISSON RODRIGUES DA CONCEICAO 05360926309;PPC 15553;06/03/2026;1;;;R$ 803,52;R$ 0,00;R$ 0,00;R$ 803,52
DIEPI DISTRIBUIDORA DE EPI LTDA;PPC 15556;06/03/2026;1;;;R$ 600,00;R$ 0,00;R$ 0,00;R$ 600,00
METALMECANICA MAIA LTDA;PPC 15557;06/03/2026;1;;;R$ 1.882,70;R$ 0,00;R$ 0,00;R$ 1.882,70
RICARD PEREIRA SILVEIRA;PCT 1709;09/03/2026;4;;;R$ 10.600,00;R$ 0,00;R$ 0,00;R$ 10.600,00
CERAMICA ROCHA UNIPESSOAL;PPC 15559;09/03/2026;1;;;R$ 3.750,00;R$ 0,00;R$ 0,00;R$ 3.750,00
A B NOBRE DA SILVA ROCHA MADEIRAS;PPC 15561;09/03/2026;1;;;R$ 2.190,80;R$ 0,00;R$ 0,00;R$ 2.190,80
RICARD PEREIRA SILVEIRA;BOL 1709;10/03/2026;1;;;R$ 1.600,00;R$ 0,00;R$ 0,00;R$ 1.600,00
RICARD PEREIRA SILVEIRA;BOL 1709.1;10/03/2026;1;;;R$ 1.850,03;R$ 0,00;R$ 0,00;R$ 1.850,03
ALISSON RODRIGUES DA CONCEICAO 05360926309;NFSE 92;10/03/2026;1;;;R$ 803,52;R$ 0,00;R$ 0,00;R$ 803,52
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 344;11/03/2026;1;;;R$ 3.918,00;R$ 0,00;R$ 0,00;R$ 3.918,00
ELLO COMERCIO TRANSPORTE E LOGISTICA LTDA;BOL 348;11/03/2026;1;;;R$ 545,00;R$ 0,00;R$ 0,00;R$ 545,00
A B NOBRE DA SILVA ROCHA MADEIRAS;BOL 738;11/03/2026;1;;;R$ 2.190,80;R$ 0,00;R$ 0,00;R$ 2.190,80
CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO CEARÁ;BOL CREA-CE| MÔNICA;11/03/2026;6;;;R$ 704,52;R$ 0,00;R$ 0,00;R$ 704,52
VOTORANTIM CIMENTOS N/NE S/A;NFE 84671;11/03/2026;1;;;R$ 9.903,60;R$ 0,00;R$ 0,00;R$ 9.903,60
JOSE ELIAS PEDROSA OLIVEIRA JUNIOR;PPC 15568;11/03/2026;1;;;R$ 1.831,92;R$ 0,00;R$ 0,00;R$ 1.831,92
HDS ENGENHARIA LTDA;CTM 1712;13/03/2026;1;;;R$ 1.000,13;R$ 0,00;R$ 0,13;R$ 1.000,00
KAPTA PROJETOS LTDA;CTM 1685;16/03/2026;1;;;R$ 7.000,00;R$ 0,00;R$ 0,00;R$ 7.000,00
HYDROS DISTRIBUIDORA DE MEDIDORES E ACESSORIOS LTDA;PPC 15588;16/03/2026;1;;;R$ 1.127,00;R$ 0,00;R$ 0,00;R$ 1.127,00
HYDROS DISTRIBUIDORA DE MEDIDORES E ACESSORIOS LTDA;NFE 1625;17/03/2026;1;;;R$ 1.127,00;R$ 0,00;R$ 0,00;R$ 1.127,00
SOARES MOURAO COMERCIO DE TINTAS LTDA;PPC 15592;17/03/2026;1;;;R$ 1.214,33;R$ 0,00;R$ 0,00;R$ 1.214,33
DIEPI DISTRIBUIDORA DE EPI LTDA;PPC 15598;18/03/2026;1;;;R$ 575,00;R$ 0,00;R$ 0,00;R$ 575,00
POSTO DE COMBUSTIVEIS NOSSA SENHORA APARECIDA EIRELI;CPF 34193;19/03/2026;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
CONSELHO DE ARQUITETURA E URBANISMO DO CEARA - CAU - CE;BOL 24318295;20/03/2026;1;;;R$ 130,64;R$ 0,00;R$ 0,00;R$ 130,64
W F COMERCIO E SERVICOS EM PREMOLDADOS LTDA;CTM 1734;20/03/2026;1;;;R$ 1.950,00;R$ 0,00;R$ 0,00;R$ 1.950,00
METALMECANICA MAIA LTDA;PPC 15604;20/03/2026;1;;;R$ 371,52;R$ 0,00;R$ 0,00;R$ 371,52
PRUDENTIAL DO BRASIL VIDA EM GRUPO SA;CO SEGURO J. BOULEVARD;23/03/2026;1;;;R$ 12,99;R$ 0,00;R$ 0,00;R$ 12,99
POSTO DE COMBUSTIVEIS NOSSA SENHORA APARECIDA EIRELI;CPF 34520;23/03/2026;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
JAGUAR COMÉRCIO DE TINTAS;PPC 15610;23/03/2026;1;;;R$ 179,80;R$ 0,00;R$ 0,00;R$ 179,80
FORTCOLOR TINTAS E VERNIZES LTDA;PPC 15611;23/03/2026;1;;;R$ 885,10;R$ 0,00;R$ 0,00;R$ 885,10
SOLUCAO PRODUTOS PARA CONSTRUCAO LTDA;PPC 15617;23/03/2026;1;;;R$ 252,00;R$ 0,00;R$ 0,00;R$ 252,00
COMERCIO VAREJISTA DE PETROLEO II PVEX LTDA;CPF 45338;24/03/2026;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
JAGUAR COMÉRCIO DE TINTAS;FAT 15610;24/03/2026;1;;;R$ 179,80;R$ 0,00;R$ 0,00;R$ 179,80
FORTCOLOR TINTAS E VERNIZES LTDA;FAT 15611;24/03/2026;1;;;R$ 885,10;R$ 0,00;R$ 0,00;R$ 885,10
SOLUCAO PRODUTOS PARA CONSTRUCAO LTDA;FAT 15617;24/03/2026;1;;;R$ 252,00;R$ 0,00;R$ 0,00;R$ 252,00
FORTCOLOR TINTAS E VERNIZES LTDA;NFE 139393;24/03/2026;1;;;R$ 885,10;R$ 0,00;R$ 0,00;R$ 885,10
VALE TRANSPORTE;CO VT OTACIER RODRIGUES;26/03/2026;1;;;R$ 68,40;R$ 0,00;R$ 0,00;R$ 68,40
L B PORTELA GRAFICA;REC 1;26/03/2026;1;;;R$ 14,00;R$ 0,00;R$ 0,00;R$ 14,00
LOJAS ALVES COMERCIO DE MATERIAL DE CONSTRUCAO LTDA;CPF 1884;27/03/2026;1;;;R$ 75,70;R$ 0,00;R$ 0,00;R$ 75,70
RODRIGUES MATERIAL DE CONSTRUCOES LTDA;CPF 2889;27/03/2026;1;;;R$ 29,90;R$ 0,00;R$ 0,00;R$ 29,90
COMERCIO VAREJISTA DE PETROLEO II PVEX LTDA;REC 0;27/03/2026;1;;;R$ 40,00;R$ 0,00;R$ 0,00;R$ 40,00
L B PORTELA GRAFICA;REC 1;27/03/2026;1;;;R$ 24,00;R$ 0,00;R$ 0,00;R$ 24,00
VALE ALIMENTAÇÃO;REC 1;27/03/2026;1;;;R$ 41,00;R$ 0,00;R$ 0,00;R$ 41,00
POSTO DE COMBUSTIVEIS NOSSA SENHORA APARECIDA EIRELI;CPF 35392;30/03/2026;1;;;R$ 40,28;R$ 0,00;R$ 0,00;R$ 40,28
VALE ALIMENTAÇÃO;REC 1;30/03/2026;1;;;R$ 66,00;R$ 0,00;R$ 0,00;R$ 66,00
POSTO DE COMBUSTIVEIS NOSSA SENHORA APARECIDA EIRELI;CPF 12541;31/03/2026;1;;;R$ 60,00;R$ 0,00;R$ 0,00;R$ 60,00
METALMECANICA MAIA LTDA;NFE 132201;31/03/2026;1;;;R$ 46,24;R$ 0,00;R$ 0,00;R$ 46,24
METALMECANICA MAIA LTDA;NFE 356889;31/03/2026;1;;;R$ 325,28;R$ 0,00;R$ 0,00;R$ 325,28
VALE ALIMENTAÇÃO;REC 1;31/03/2026;1;;;R$ 58,00;R$ 0,00;R$ 0,00;R$ 58,00
SECRETARIA DA FAZENDA;BOL 2026.62.0570414-46;01/04/2026;1;;;R$ 55,93;R$ 0,00;R$ 0,00;R$ 55,93
ROBERTO SOUSA BRITO 54744792391;BOL TIMLAPSE;01/04/2026;4;;;R$ 4.200,00;R$ 0,00;R$ 0,00;R$ 4.200,00
SECRETARIA DE FAZENDA FEDERAL;DARF 07202610562020635;01/04/2026;1;;;R$ 39,90;R$ 0,00;R$ 0,00;R$ 39,90
SECRETARIA DE FINANÇA DO MUNICIPIO DE FORTALEZA;DARM 20260268901142;01/04/2026;1;;;R$ 219,09;R$ 0,00;R$ 0,00;R$ 219,09
ITAECIO- MATERIAIS PARA CONSTRUCAO LTDA;NFE 782;01/04/2026;1;;;R$ 541,50;R$ 0,00;R$ 44,50;R$ 497,00
