EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRAS PARCERIAS 2;191;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PAVIMENTAÇÃO E URBANIZAÇÃO DA AV. BEIRA RIO - MORRINHOS;113;R$ 0,00;R$ 13.859,27;R$ -13.859,27;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PAVIMENTAÇÃO EM PEDRA TOSCA EM URUCUTUBA - CAUCAIA;107;R$ 0,00;R$ 26.011,12;R$ -26.011,12;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PMC - REFORMA DE UMA QUADRA COBERTA DA ESCOLA DOMINGOS DE ABREU BRASILEIRO;33;R$ 0,00;R$ 10.947,65;R$ -10.947,65;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PMC- REFORMA DA QUADRA COBERTA DA ESCOLA ANTONIO ALMEIDA LUSTOSA;32;R$ 0,00;R$ 173.203,20;R$ -173.203,20;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PMC- REFORMA QUADRA COBERTA ESCOLA NELY CAULA DE CARVALHO;31;R$ 0,00;R$ 95.726,80;R$ -95.726,80;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA - MORRINHOS - ESCOLA FNDE;25;R$ 0,00;R$ 44.103,61;R$ -44.103,61;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA MUNICIPAL DE CAUCAIA - CONCLUSÃO;27;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA MUNICIPAL DE CAUCAIA - REF 02 QUADRAS (Mª DE LOURDES E PEDRO LAURINDO;40;R$ 0,00;R$ 988,09;R$ -988,09;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PREFEITURA MUNICIPAL DE MORRINHOS  - CENTRO DE FEIRAS;85;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PROJETO DE CASAS - ALPHAVILLE;273;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PROVISÕES;998;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PSJ ETE HORIZONTE;20;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RANGER - QUL - 5009;137;R$ 0,00;R$ 433,00;R$ -433,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DA CRECHE SONHOS DE CRIANÇA - POÇO DOCE - PARACURU;158;R$ 0,00;R$ 9.233,15;R$ -9.233,15;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DE EDIFICAÇÃO PARA IMPLANTAÇÃO DA SEDE DO RAIO - DE PENTECOSTE;156;R$ 0,00;R$ 98.183,56;R$ -98.183,56;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DO TERMINAL RODOVIÁRIO - PARACURU;161;R$ 0,00;R$ 2.170,60;R$ -2.170,60;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA FINANCEIRO;133;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REQUALIFICAÇÃO DO MERCADO DA JUREMA - CAUCAIA;117;R$ 0,00;R$ 1.589,30;R$ -1.589,30;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RESIDENCIAS UNIFAMILIARES JARDINS BOULEVARD - NOVUM;247;R$ 0,00;R$ 15,00;R$ -15,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RESIDENCIAS UNIFAMILIARES LAGOA DO BANANA;128;R$ 0,00;R$ 12.066,24;R$ -12.066,24;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;RETRABALHO;116;R$ 0,00;R$ 4.535,00;R$ -4.535,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SEDUC REFORMA DO CEJAQUI - AQUIRAZ;17;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SERV AMPL E REF ESCOLAS EEIEF JOSÉ ANT SOUSA E EEF RAQUEL COSTA SENADOR POMPEU;153;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SETOR METALÚRGICO;141;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SIENA - NUS0749;293;R$ 0,00;R$ 29,84;R$ -29,84;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SUBESTAÇÃO DE ESCOLAS EM SÃO GONÇALO DO AMARANTE;104;R$ 0,00;R$ 170,00;R$ -170,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;TESTE;19;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;TESTE - LANÇAMENTO DE ORÇAMENTOS;285;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE BASICA DE SAUDE (UBS) - CAUCAIA;87;R$ 0,00;R$ 45,00;R$ -45,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS BATURITÉ - IFCE (DESATIVADO);278;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;UNIDADE NUTRICIONAL DO CAMPUS UBAJARA - IFCE;284;R$ 0,00;R$ 268.420,33;R$ -268.420,33;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 01 - SAVEIRO PVZ-5019;76;R$ 0,00;R$ 0,00;R$ 0,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 03 - CAMINHÃO OKR 8293;73;R$ 0,00;R$ 20.726,96;R$ -20.726,96;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 06 L200 JVA-2907;79;R$ 0,00;R$ 1.080,19;R$ -1.080,19;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT 07 MOTO PME-7113;80;R$ 0,00;R$ 1.189,00;R$ -1.189,00;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;VT FOX - OII2820;277;R$ 0,00;R$ 0,75;R$ -0,75;0,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;TOTAL;1;R$ 38.389.701,40;R$ 16.524.744,30;R$ 21.864.957,10;56,96%
