EMPRESA;ID_EMPRESA;OBRA;ID_OBRA;RECEITA;CUSTOS_DESPESAS;MC;MARGEM
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA UBS JARDIM - PARACURU;149;R$ 83.411,81;R$ 32.531,08;R$ 50.880,73;61,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA DA PRAÇA DA MATRIZ DO MUNICÍPIO DE GRANJEIRO;126;R$ 80.545,33;R$ 100.600,43;R$ -20.055,10;-24,90%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO SALAS DE AULA E ESP. VIVÊNCIA - JAGUARIBE;16;R$ 80.006,28;R$ 0,00;R$ 80.006,28;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE CONSTRUÇÃO SALAS DE AULA - MORADA NOVA;1;R$ 79.227,87;R$ 0,00;R$ 79.227,87;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - CRATEUS;92;R$ 72.752,66;R$ 8.286,10;R$ 64.466,56;88,61%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE - UBS INDIGENA - CRATEUS;166;R$ 72.605,40;R$ 58.329,52;R$ 14.275,88;19,66%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇÃO PREDIAL - REITORIA;10;R$ 71.267,44;R$ 24.311,39;R$ 46.956,05;65,89%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;QUADRA POLIESPORTIVA COM COBERTURA E VESTIÁRIOS MODELO 02 - CAMPOS SALES;147;R$ 67.581,48;R$ 7.015,70;R$ 60.565,78;89,62%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ESCRITÓRIO;41;R$ 67.385,40;R$ 1.356.562,05;R$ -1.289.176,65;-1913,14%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS JAGUARIBE - SUBESTAÇÃO - GRUPO 03;220;R$ 67.320,77;R$ 3.501,88;R$ 63.818,89;94,80%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;ITAITINGA - PAV. PEDRA TOSCA EM RUAS GERERAÚ;35;R$ 65.613,28;R$ 44.005,55;R$ 21.607,73;32,93%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS QUIXADA - SUBESTAÇÃO - GRUPO 03;224;R$ 62.411,40;R$ 14.053,66;R$ 48.357,74;77,48%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS CAUCAIA - SUBESTAÇÃO - GRUPO 01;227;R$ 62.182,60;R$ 1.444,56;R$ 60.738,04;97,68%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SUBESTAÇÃO DO HOSPITAL DR. JOÃO ELÍSIO DE HOLANDA - MARACANAÚ;139;R$ 61.337,92;R$ 0,00;R$ 61.337,92;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS FORTALEZA;45;R$ 58.785,49;R$ 330,56;R$ 58.454,93;99,44%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;PAVIMENTAÇÃO - CNT MORRINHOS;121;R$ 58.014,51;R$ 17.041,10;R$ 40.973,41;70,63%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;OBRAS PARCERIAS TABULEIRO - QUADRAS;190;R$ 57.616,36;R$ 6.472,11;R$ 51.144,25;88,77%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS UMIRIM - SUBESTAÇÃO - GRUPO 01;236;R$ 55.930,46;R$ 1.124,56;R$ 54.805,90;97,99%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS JUAZEIRO DO NORTE - SUBESTAÇÃO - GRUPO 04;242;R$ 53.877,39;R$ 761,88;R$ 53.115,51;98,59%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS TIANGUÁ - SUBESTAÇÃO - GRUPO 02;217;R$ 47.642,45;R$ 761,88;R$ 46.880,57;98,40%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;SAÚDE;140;R$ 47.455,30;R$ 0,00;R$ 47.455,30;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS BATURITE;71;R$ 46.960,37;R$ 423,99;R$ 46.536,38;99,10%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;INSTALAÇÃO DE SISTEMA FOTOVOLTAICO - CÂMARA MUNICIPAL DE BATALHA;182;R$ 45.047,15;R$ 0,00;R$ 45.047,15;100,00%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS REITORIA;49;R$ 44.128,65;R$ 975,92;R$ 43.152,73;97,79%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE MANUTENÇAO SUBESTAÇAO - CAMPUS MARACANAU;46;R$ 40.355,26;R$ 33.173,64;R$ 7.181,62;17,80%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;IFCE - CAMPUS BOA VIAGEM - SUBESTAÇÃO - GRUPO 02;211;R$ 39.749,60;R$ 1.911,88;R$ 37.837,72;95,19%
DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;1;REFORMA CALÇADÃO DA ORLA - PARACURU;159;R$ 37.572,39;R$ 3.953,74;R$ 33.618,65;89,48%
